name,desc
พงศ์พัศ ศรีอุ่น,สส.เขต (ขอนแก่น เขต 10)
เฟิร์ทป๊อปฟูล่า เชื้อท้าว,สส.เขต (อุบลราชธานี เขต 2)
ประกาศ พิบูลพงษ์,สส.เขต (อุบลราชธานี เขต 4)
ศราวุธ แสงภักดี,สส.เขต (อุบลราชธานี เขต 5)
สมหมาย มิ่งขวัญ,สส.เขต (อุบลราชธานี เขต 6)
ทองดี ศรีเสน,สส.เขต (อุบลราชธานี เขต 9)
สมศรี บุญเหลือ,สส.เขต (อุบลราชธานี เขต 10)
สุรสิทธิ์ สุวรรณภา,สส.เขต (นครราชสีมา เขต 2)
สมหมาย จุ้ยเพิ่ม,สส.เขต (นครราชสีมา เขต 3)
ชุมพล ทวิธารคชา,สส.เขต (นครราชสีมา เขต 4)
ชุติมณฑน์ เนียมสูงเนิน,สส.เขต (นครราชสีมา เขต 6)
ทองสอน พันธ์งาม,สส.เขต (นครราชสีมา เขต 9)
สุนันท์ อ่อนขาว,สส.เขต (นครราชสีมา เขต 10)
นิศาชน วัฒนการุณวงศ์,สส.เขต (นครราชสีมา เขต 11)
เริงณรงค์ มาสิงห์,สส.เขต (นครราชสีมา เขต 12)
ภาสินี เข็มมะลัง,สส.เขต (นครราชสีมา เขต 14)
กนกวรรณ กลิ่นสาท,สส.เขต (กรุงเทพมหานคร เขต 17)
