name,desc
จริต บุญอ่อน,สส.เขต (อุบลราชธานี เขต 6)
วร จำปาเทศ,สส.เขต (อุบลราชธานี เขต 9)
ศิริวิมณ คำสิงหา,สส.เขต (อุบลราชธานี เขต 10)
พฤกษ์ สธนเสาวภาคย์,สส.เขต (นครราชสีมา เขต 1)
อรทัย ดวดกระโทก,สส.เขต (นครราชสีมา เขต 5)
บุญส่ง แปลงไธสง,สส.เขต (นครราชสีมา เขต 8)
เพชรวัชระ วงษ์อัศวภัทร์,สส.เขต (นครราชสีมา เขต 9)
เนาวรัตน์ นาสะกาด,สส.เขต (นครราชสีมา เขต 10)
สมมาต สถาพร,สส.เขต (นครราชสีมา เขต 11)
มังกร ทรัพย์ปราการ,สส.เขต (นครราชสีมา เขต 13)
