name,desc
เลิศ เทือกแสง,สส.เขต (หนองบัวลำภู เขต 2)
ไพบูลย์ กองสอน,สส.เขต (หนองบัวลำภู เขต 3)
ทองใบ ทูลฉลอง,สส.เขต (กำแพงเพชร เขต 1)
ประยูร นามมนตรี,สส.เขต (กำแพงเพชร เขต 2)
ฐิติรัตน์ ตั้งสกุล,สส.เขต (กำแพงเพชร เขต 3)
สนาม พะสะภาค,สส.เขต (กำแพงเพชร เขต 4)
ธนนท์ พรอินทร์,สส.เขต (ฉะเชิงเทรา เขต 1)
ทำนอง เข็มมลทา,สส.เขต (ฉะเชิงเทรา เขต 2)
ประโยชน์ อินทสุวรรณ์,สส.เขต (ฉะเชิงเทรา เขต 3)
กฤษดา สื่อสุวรรณ,สส.เขต (ฉะเชิงเทรา เขต 4)
มะณี กุลบุตร,สส.เขต (นครพนม เขต 1)
ดวงใจ เชื้อคำเพ็ง,สส.เขต (นครพนม เขต 2)
ปริศนา เชื้อคำเพ็ง,สส.เขต (นครพนม เขต 3)
อุดร ลาดบาศรี,สส.เขต (นครพนม เขต 4)
สมาแอ อับดุลดานิง,สส.เขต (นราธิวาส เขต 1)
เลาะ หามะ,สส.เขต (นราธิวาส เขต 2)
อานีรัน ยูนุ๊,สส.เขต (นราธิวาส เขต 3)
ดรุณี แสงเดือน,สส.เขต (นราธิวาส เขต 4)
หายาตี บูสะมัน,สส.เขต (ปัตตานี เขต 1)
ซาลีฮะ เซ็ง,สส.เขต (ปัตตานี เขต 2)
นิอิลยัส นิมะ,สส.เขต (ปัตตานี เขต 3)
นูรฮายาตี บูละ,สส.เขต (ปัตตานี เขต 4)
ฐิติมา ธงชัย,สส.เขต (พระนครศรีอยุธยา เขต 1)
สุชษา ทองกลัด,สส.เขต (พระนครศรีอยุธยา เขต 2)
สุเมธ เทอดไทย,สส.เขต (พระนครศรีอยุธยา เขต 3)
นพวรรณ ภารสาร,สส.เขต (พระนครศรีอยุธยา เขต 4)
ฉัตรชัย เล็กบุญแถม,สส.เขต (ระยอง เขต 1)
ธนภัทร รื่นรมย์,สส.เขต (ระยอง เขต 2)
สหไพศาล ประสมสุข,สส.เขต (ระยอง เขต 3)
ดำรงค์ ปฎิสังข์,สส.เขต (ระยอง เขต 4)
ณพปพรรณ สะอาดเอี่ยม,สส.เขต (ลพบุรี เขต 1)
สุรชาติ เพชรรุ่ง,สส.เขต (ลพบุรี เขต 2)
นงนุช เพชรรุ่ง,สส.เขต (ลพบุรี เขต 3)
กานต์ แจ้งนพรัตน์,สส.เขต (ลพบุรี เขต 4)
วิเชียร ขลุ่ยทอง,สส.เขต (ลำปาง เขต 1)
ประพัฒน์ วัฒนานุพนธ์,สส.เขต (ลำปาง เขต 2)
วิชัย หมื่นประจักร์,สส.เขต (ลำปาง เขต 3)
บุญธรรม จันทะเหลา,สส.เขต (ลำปาง เขต 4)
ทวิชช์ ซังยืนยง,สส.เขต (สุพรรณบุรี เขต 1)
แสงชัย อำนวยวัฒนกุล,สส.เขต (สุพรรณบุรี เขต 2)
อติโรจน์ สุขสวัสดิ์,สส.เขต (สุพรรณบุรี เขต 3)
สุขสันต์ คงคา,สส.เขต (สุพรรณบุรี เขต 4)
โกสัญญา ภุมรินทร์,สส.เขต (กาญจนบุรี เขต 1)
ประหยัด กัณสูตร,สส.เขต (กาญจนบุรี เขต 2)
ศุภกร ภู่สุวรรณ,สส.เขต (กาญจนบุรี เขต 3)
ภูษิต เปียสวน,สส.เขต (กาญจนบุรี เขต 4)
นรพล คงนานดี,สส.เขต (กาญจนบุรี เขต 5)
ดาวัลย์ ปิ่นคำ,สส.เขต (กาฬสินธุ์ เขต 1)
วินิจ วงศ์กาฬสินธุ์,สส.เขต (กาฬสินธุ์ เขต 2)
จำเนียร ภูปัญญา,สส.เขต (กาฬสินธุ์ เขต 3)
ปราเสริฐ เคนสุโพธิ์,สส.เขต (กาฬสินธุ์ เขต 4)
อริยพล เทอำรุง,สส.เขต (กาฬสินธุ์ เขต 5)
สุเทพ กฤษณพิพัฒน์,สส.เขต (นครปฐม เขต 1)
วิเชียร พยุหเกียรติ,สส.เขต (นครปฐม เขต 2)
พิสิษฐ์ จันทร์เรือง,สส.เขต (นครปฐม เขต 3)
ธนพล คงพากเพียร,สส.เขต (นครปฐม เขต 4)
วรทัศน์ บุญประคอง,สส.เขต (นครปฐม เขต 5)
ธนพล พวงปาริชาต,สส.เขต (พิษณุโลก เขต 1)
ชัยพร คุ้มสุพรรณ,สส.เขต (พิษณุโลก เขต 2)
เตือน แพงวังทอง,สส.เขต (พิษณุโลก เขต 3)
ภิรมย์ ศิริสานต์,สส.เขต (พิษณุโลก เขต 4)
ชัยวัฒน์ ม่วงพรหม,สส.เขต (พิษณุโลก เขต 5)
กุลิสรา เสาธง,สส.เขต (เพชรบูรณ์ เขต 1)
สุรพล จิอู๋,สส.เขต (เพชรบูรณ์ เขต 2)
สมเกียรติ ขันธรรม,สส.เขต (เพชรบูรณ์ เขต 3)
ปัณณทัต ปานเงิน,สส.เขต (เพชรบูรณ์ เขต 4)
กานต์ญาณ์มาศ บำรุงอ่วม,สส.เขต (เพชรบูรณ์ เขต 5)
สุธี สิทธิชัย,สส.เขต (มหาสารคาม เขต 1)
รัฐพงษ์ หงจันทา,สส.เขต (มหาสารคาม เขต 2)
สุทัศน์ รักสกุล,สส.เขต (มหาสารคาม เขต 3)
